Do you have any raisins? No? then what about a date?,Pick up Lines,date
,,raisins
,,pick up lines
,,pick-up lines
What do elves learn in school? The Elf-abet!,Holiday,christmas
,,holiday
,,elf
,,elves
,,alphabet
You've got to be kitten me.,Animals,kitten
,,animals
,,Kidding
Are you a beaver? Cause Dam.,Pick up Lines,damn
,,pick-up lines
,,pick up lines
,,dam
If you were a fruit you'd be a fineapple.,Pick up Lines,pineapple
,,fine
,,pick up lines
,,pick-up lines
If you were a vegetable you'd be a cutecumber.,Pick up Lines,cucumber
,,pick up lines
,,pick-up lines
,,cute
Are you an angle from Heaven? Beause you're acute.,Pick up Lines,angel
,,pick up lines
,,pick-up lines
,,angle
,,heaven
If you were a chicken you'd be impeccable.,Pick up Lines,peck
,,pick up lines
,,pick-up lines
What does a nosy pepper do? Get jalapeno business.,Food,jalapeno
,,food
How do you kill a vegetarian vampire?  A steak.,Food,stake
,,food
,,steak
,,vampire
Did you hear about the Mexican train killer? He had locomotives,Jokes,loco
,,jokes
,,mexican

,,mexicans
How does NASA orgnize their company parties? They planet.,Science,plan
,,science
,,planet
,,NASA
What did Jay-Z call his girlfriend before they got married? Feyonce.,Celebrities,beyonce
,,celebrities
,,celebrity
,,fiancee
,Jokes,
What do you call dangerous precipitation? A rain of terror.,Science,reign
,,science
,,rain
,,weather
,Jokes,
Why can't bikes stand on their own? They're two tired.,Jokes,too
,,jokes
,,bike
,,bikes
Atheism is a non-prophet organization,Jokes,profit
,,jokes
,,prophet
What do you call a dinosaur with an extensive vocabulary? A Thesaurus.,Animals,dinosaur
,,animals
,Jokes,
Pampered cows produce spoiled milk,Animals,spoiled
,,animals
,,cows
Learn sign language - it's very handy,Life Lessons,handy
,,life lessons
,,hands
,,language
Dry erase boards are remarkable,Life Lessons,mark
,,life lessons
,,remarkable
Dwarfs and midgets have very little in common,Life Lessons,little
,,life lessons
,,dwarfs
,,midgets
How do you make holy water? Boil the hell out of it.,Jokes ,hell
,,jokes
,,religion
A friend tried to annoy me with bird puns but I learned that toucan play at that game.,Animals,two
,,animals
,,toucan
,,birds
,,bird
I'm no photographer but I can picture us together.,Pick up Lines,picture
,,pick up lines
,,pick-up lines
,,photography
What is Forrest Gump's email password? 1forrest1,Jokes,run
,,jokes
,,Forrest Gump
,Movies,
What do you call people who are afraid of Santa Claus? Claustrophobic.,Holiday,claus
,,holiday
,,santa
,,christmas
Which weekday do potatoes hate the most? Fryday.,Animals,fry
,,animals
,,potato
,,potatos
What do sea monsters eat for breakfast? Fish and ships.,Animals,chips
,,animals
,,ships
,,monsters
Which of Santa's reindeers needs to mind his manners the most? Rudeolph,Holiday,christmas
,,holiday
,,reindeer
I pray to Alakazam Muslim, Pokemon, Allah
,,Alakazam
,,pokemon
,,religion
Bad behaviour is onix-ceptable, pokemon, onix
,,unacceptable
,life lessons,
Do you speak Spanish? Because I think you are excel-Entei :), pokemon, entei
,,pokemon
,,excellent
,pick up lines,
I can't Bayleef it's not butter!, pokemon, bayleef
,,believe
...What you don't understand is I would catch a Gallade for you..., pick up lines, gallade
,,grenade
,,bruno mars
,celebrities,
,,celebrities
,,lyrics
,pokemon,
,,pokemon
What is Pikachu's favourite place to holiday? Machu Pichu., pokemon, pokemon
,,pichu
,,pikachu
How do you fit 500 Tentacruels on a bus? You poke 'em on., pokemon,pokemon
,,Tentacruel
...I'm not going to Raichu a love song cause you Ash'ed Furret..., pokemon, pokemon
,,asked
,,Ash
,,furret
,,Raichu
,,Sara Bareilles
,celebrities, 
,,celebrities
